"id","type_of_course","course_name","course_short_name","url_mask","enrollment_close_date","course_fee","course_duration","is_installment_facility","class_routine","is_new","is_featured","lms_course_id","status","exit_intent_id","old_pid","old_id","discarded","added_date","modified_date","mailchimp_interest_id","hide_from_list","show_new_refund_policy","new_refund_policy","refund_policy_tagline","show_freedownload_msg","freedownload_msg","show_freedownload_succ_msg","freedownload_succ_msg","is_new_welcome_email","new_welcome_email","freedownload_vdo_cnt","duration_type","show_type","time_interval","popup_id","ap_id","show_join_the_waitlist_msg","join_the_waitlist_msg","show_join_the_waitlist_succ_msg","join_the_waitlist_succ_msg","banner_short_information","show_govt_logo_cap","tags","ap_course_cat_id","welcome_call_required","payment_gateway","location_short_name","type_of_course_sec","show_govt_medhavi_logo"
"112","13","Training program on ESG: Strategy, Governance & Compliance","Training program on ESG","training-program-on-esg-strategy-governance-compliance","2026-03-31 23:59:00","75000","3","N","6-8hours/week","Y","N",,"A","204",,,"N","2025-03-16 08:14:11","2026-08-21 14:08:17",,"N","N","","","N","","N","","N","","","month","T","0","0","280","N","","N","","","N","Remote International Work","11","Y","Cashfree","IN","13","0"
"111","13","Professional Certification in AI Driven Data Analytics (INA)","Data Analytics - INA","professional-certification-in-ai-driven-data-analytics-ina","2025-07-31 23:59:00","159999","6","N","6-8 hrs/week","Y","N",,"A","204",,,"N","2025-02-19 20:27:50","2025-07-16 12:07:07",,"N","N","","","N","","N","","N","","","month","T","0","0","279","N","","N","","","N","Remote International Work","10","Y","Cashfree","IN",,"0"
"110","13","Training Program on How to Automate HR Functions Using AI (from LawSikho)","Automate HR Functions Using AI from LawSikho","training-program-on-how-to-automate-hr-functions-using-ai-from-lawsikho","2025-08-31 23:59:00","60000","3","N","6-8 hrs/week","Y","N",,"A","204",,,"N","2025-02-05 17:24:29","2026-08-21 14:08:22",,"N","N","","","N","","N","","N","","","month","T","0","0","278","N","","N","","","N","Remote International Work","11","Y","Cashfree","IN",,"0"
"109","13","Master Java Programming and Data Structures & Algorithms (DSA)","Java Programming","master-java-programming-and-data-structures--algorithms-dsa","2025-04-30 15:40:00","50000","6","N","6-8 hrs/week","Y","N",,"A","204",,,"N","2025-01-08 15:32:47","2026-01-22 18:01:08",,"N","N","","","N","","N","","N","","","month","T","0","0","277","N","","N","","","N","Remote International Work","10","Y","Cashfree","IN",,"0"
"108","13","Master iOS Development with Swift and SwiftUI","iOS Development","master-ios-development-with-swift-and-swiftui","2025-04-30 15:40:00","50000","6","N","6-8 hrs/week","Y","N",,"A","204",,,"N","2025-01-08 14:59:09","2026-01-22 18:01:50",,"N","N","","","N","","N","","N","","","month","T","0","0","276","N","","N","","","N","Remote International Work","10","Y","Cashfree","IN",,"0"
"107","13","Master Android Development with Kotlin and Jetpack Compose","Android Development","master-android-development-with-kotlin-and-jetpack-compose","2025-04-30 15:40:00","50000","6","N","6-8 hrs/week","Y","N",,"A","204",,,"N","2025-01-08 14:14:34","2026-01-22 18:01:35",,"N","N","","","N","","N","","N","","","month","T","0","0","275","N","","N","","","N","Remote International Work","10","Y","Cashfree","IN",,"0"
"106","13","Cultural Adjustment and Workplace Integration for International Nurses","Cultural Adjustment and Workplace Integration","cultural-adjustment-and-workplace-integration-for-international-nurses","2025-04-30 15:39:00","25000","8","N","3 hours/week","Y","Y",,"A","204",,,"N","2024-12-22 14:23:15","2025-05-01 15:05:47",,"N","N","","","N","","N","","N","","","week","T","0","0","274","N","","N","","","N","Remote International Work","12","N","Cashfree","IN","13","0"
"105","13","Certificate Program in Tax Advisory and Representation for Enrolled Agent Preparation","Tax Advisory and Representation for Enrolled Agent","certificate-program-in-tax-advisory-and-representation-for-enrolled-agent-preparation","2025-06-30 23:59:00","75000","6","N","6-8 hrs/week","Y","N",,"A","204",,,"N","2024-12-19 17:58:45","2026-06-22 13:06:18",,"N","N","","","N","","N","","N","","","month","T","0","0","273","N","","N","","","N","Remote International Work","10","Y","Cashfree","IN",,"1"
"104","13","International Job Hunt Accelerator Program (US)","International Job Hunt Accelerator Program (US)","international-job-hunt-accelerator-program-us","2025-02-28 23:59:00","765","6","N","6-8 hrs/week","Y","N",,"A","204",,,"N","2024-12-06 13:15:53","2025-02-18 16:02:51",,"N","N","","","N","","N","","N","","","month","T","0","0","272","N","","N","","","N","Remote International Work","10","Y","Cashfree","US",,"0"
"103","13","Crack The Solicitors Qualifying Examination (SQE 2)(Global)","TP-SQE 2 (Global)","crack-the-solicitors-qualifying-examination-sqe-2global","2024-12-05 20:37:00","1266","6","N","6-8hours/week","Y","N",,"A","204",,,"N","2024-12-06 11:42:38","2024-12-06 20:12:34",,"N","N","","","N","","N","","N","","","month","T","0","0","271","N","","N","","","N","Remote International Work","5","Y","Cashfree","US",,"0"
