"id","course_id","banner_name","image_name","show_syllabus","show_enroll_now","show_refund_policy","show_enroll_close_date","show_free_download","status","banner_type","use_as_listing","banner_listing","added_date","modified_date","infographic_value"
"99","98","Banner","59f073a26e7922cca0ecb612607f08f1.jpeg","Y","Y","Y","Y","N","A","primary",,"","2024-11-08 19:08:04","2024-11-08 19:11:27",
"100","99","Banner","d3f6250d1be977be8bcaecfd68d0ec5c.jpg","Y","Y","Y","Y","N","A","primary",,"","2024-11-08 19:53:25","2024-11-08 20:11:22",
"101","100","Banner","3ffa410c5b0da886547a385e2990f0e6.jpg","Y","Y","Y","Y","N","A","primary",,"","2024-11-22 13:22:25","2024-11-22 14:11:20",
"102","101","Banner","55bfba7d3a6b040ba278b591ec8f2363.jpg","N","Y","Y","Y","N","A","primary",,"","2024-11-22 14:34:47","2024-11-22 16:11:46",
"103","102","Banner","a91e1f8431ea935efb426244d606ac52.jpg","N","Y","N","Y","N","A","primary",,"","2024-12-06 11:16:19","2024-12-06 12:12:25",
"104","103","Banner","75a3fb519017121e1b96e641200d6993.jpg","N","Y","N","Y","N","A","primary",,"","2024-12-06 11:42:38","2024-12-06 12:12:38",
"105","104","Banner","1b2f4e3ccef57a573c75659ea4d9f9b5.jpg","Y","Y","N","Y","N","A","primary",,"","2024-12-06 13:15:53","2024-12-06 13:12:34",
"106","105","Banner","25e6673d995ae6569d6537659d785b9d.jpg","N","Y","N","Y","N","A","primary",,"","2024-12-19 17:58:45","2024-12-19 18:12:16",
"107","106","Banner","42a23dcaaadd04b010c3acdd950d78e2.jpg","Y","Y","N","N","N","A","primary",,"","2024-12-22 14:23:15","2025-06-07 12:06:12",
"108","107","Banner","fabdf452080c2592c24dcc1ea375f538.jpg","Y","Y","N","Y","N","A","primary",,"","2025-01-08 14:14:34","2025-01-08 14:01:35",
"109","108","Banner","bd1a7e2438aca74f93f95663386b1fd4.jpg","Y","Y","N","Y","N","A","primary",,"","2025-01-08 14:59:09","2025-01-08 15:01:34",
"110","109","Banner","2be225d822724e213a802798848ca4c1.jpg","Y","Y","N","Y","N","A","primary",,"","2025-01-08 15:32:47","2025-01-08 15:01:47",
"111","110","Banner","9254f94526eaf0ce20e0bd5af6278213.jpg","Y","Y","Y","Y","Y","A","primary",,"","2025-02-05 17:24:29","2026-08-21 14:08:37",
"112","111","Banner","86a12cf40f91020b9cd6d4b5b90b2e24.jpg","Y","Y","Y","Y","N","A","primary",,"","2025-02-19 20:27:50","2025-02-19 20:02:09",
"113","112","Banner","6df5fb8452d170ebbbebebc7f8cd4401.jpg","Y","Y","Y","Y","Y","A","primary",,"","2025-03-16 08:14:11","2026-08-21 14:08:32",
"114","113","Banner","ab3c098bc0a2741e676de0aab0289053.jpg","Y","Y","Y","N","N","A","primary",,"","2025-03-30 13:51:50","2025-06-07 12:06:43",
"115","114","Banner","2dfafcde1a3fb18a77736081b2b85fc9.jpg","Y","Y","Y","Y","N","A","primary",,"","2025-04-12 11:54:41","2025-06-07 12:06:06",
"116","115","Banner","858f256c7e30be06a4e15551879e84dd.jpg","Y","Y","Y","Y","N","A","primary",,"","2025-04-12 14:22:17","2025-06-07 12:06:51",
"117","116","Banner","b541cddd91d41cc1d298db0531290d56.jpg","Y","Y","Y","Y","Y","A","primary",,"","2025-04-12 15:17:06","2026-08-21 14:08:55",
"118","117","Banner","5d21fea2ffac08132db8bc4c3380a8cc.jpg","Y","Y","Y","Y","Y","A","primary",,"","2025-04-13 12:06:31","2026-08-21 14:08:10",
"119","118","Banner","c2eb36af20aae45ef675ebf19e658f6b.jpeg","Y","Y","Y","Y","N","A","primary",,"","2025-04-20 10:03:46","2026-03-03 17:03:16",
"120","119","Banner","2ee49155c99cc651164aca10c4c58dd7.jpg","Y","Y","Y","Y","N","A","primary",,"","2025-04-20 13:31:36","2025-06-07 11:06:59",
"121","120","Banner","b6d126d02ffdd25512a1b5aa82b5796b.jpg","Y","Y","Y","Y","N","A","primary",,"","2025-06-01 11:22:41","2025-06-02 18:06:24",
"122","121","Banner","aa18cc13c525a359121582b7c4f26a28.jpg","Y","Y","Y","Y","N","A","primary",,"","2025-07-14 16:31:55","2025-07-17 19:07:30",
"123","122","Banner","66e2444a5fc806d6e55afb6eac6e4944.jpg","N","Y","N","Y","N","A","primary",,"","2025-07-17 18:28:25","2025-07-17 19:07:03",
"124","123","Banner","e711a65e2f9107fd23ceb22dbcc06289.jpg","Y","Y","Y","Y","Y","A","primary",,"","2025-07-18 19:25:47","2026-08-21 14:08:29",
"125","124","Banner","acb1aaf4ec129b036f947b69d19085e8.jpg","Y","Y","Y","Y","N","A","primary",,"","2025-07-20 12:02:41","2026-01-01 20:01:15",
"126","125","Banner","2adbee239b3056c352f2ba651e580723.jpg","N","Y","Y","Y","N","A","primary",,"","2025-08-10 15:03:29","2026-01-01 20:01:41",
"127","126","Banner","dd788be2bf8db94e9ec019ddac804d4e.jpg","Y","Y","Y","Y","N","A","primary",,"","2025-08-17 12:55:39","2026-01-01 20:01:02",
"128","127","Banner",,"N","N","N","N","Y","A",,,,"2025-08-17 17:21:01",,
"129","128","Banner","141d753947cf3eb64f0b0500cccb0240.jpg","Y","Y","Y","Y","N","A","primary",,"","2025-08-17 17:21:09","2026-01-01 20:01:09",
"130","129","Banner","d6876a5ac80722db6b94a3a0d92e4e7f.jpg","Y","Y","Y","Y","Y","A","primary",,"","2025-08-31 12:25:25","2026-08-21 14:08:05",
"131","130","Banner","b7fc0c07b73c844f3d92497aab02ee15.jpg","Y","Y","N","Y","N","A","primary",,"","2025-10-31 11:20:54","2025-11-20 14:11:16",
"132","131","Banner","89b200eb2df8a587a3cb9a3fc7df5607.jpg","Y","Y","N","Y","N","A","primary",,"","2025-10-31 14:25:22","2025-11-20 13:11:49",
"133","132","Banner","e5c2097bb56ec922d0d90e6abdf226d7.jpg","Y","Y","Y","Y","N","A","primary",,"","2025-11-13 12:51:33","2025-11-13 13:11:16",
"134","133","Banner","70b1edfd1dbcfd865bbb46ba6d5e0484.jpg","Y","Y","N","Y","N","A","primary",,"","2025-11-19 18:17:40","2025-11-19 19:11:12",
"135","134","Banner","180b5bbe5356191f10a8a9c7f557fe60.jpg","Y","Y","Y","Y","N","A","primary",,"f0e26b26ccf13bdc8d5dc7d6f73705ba.jpg","2025-11-28 10:57:32","2025-11-28 13:11:51",
"136","135","Banner","fc63f1e87a08e3cd6b23682677d3d610.jpg","Y","Y","Y","Y","N","A","primary",,"8681d62998c3c8dfecd4592efa3330e0.jpg","2025-11-28 11:25:50","2025-11-28 14:11:41",
"137","136","Banner","346e0a7ad3c2f19fb3382bd8646a84ae.jpg","Y","Y","Y","Y","N","A","primary",,"","2025-12-18 13:57:26","2025-12-18 14:12:36",
"138","137","Banner","faf165d27fc6a58229317f958f9d2998.jpg","Y","Y","Y","Y","N","A","primary",,"","2026-02-01 13:53:33","2026-03-03 17:03:06",
"139","138","Banner","8fa98b9a80dc59b7e54b3332bb45210a.png","Y","Y","Y","Y","N","A","primary",,"27ade39802e9838e3d7a4fa265fa6250.png","2026-08-02 20:12:52","2026-08-10 17:08:17",
"140","139","Banner","43476f7dc16ec88294867e70023fb8c7.jpg","Y","Y","Y","Y","N","A","primary",,"b5f309233b5d18a2d21e5771d98709b6.jpg","2026-08-10 17:15:03","2026-08-10 17:08:03",
"141","140","Banner","","Y","Y","Y","Y","N","A","primary",,"","2026-08-16 09:46:18","2026-08-16 10:08:23",
"142","141","Banner","","Y","Y","Y","Y","N","A","primary",,"","2026-08-16 09:59:12","2026-08-16 10:08:00",
"143","142","Banner","d4f12d33857eda62e33390780d827eee.jpg","Y","Y","Y","Y","Y","A","primary",,"5395ffccd4e820cd5a88e1b597c7e529.jpg","2026-08-21 16:15:17","2026-08-21 18:08:45",
